Participant ID,Experience Level,Order,Task,Condition,Pair 1,Pair 2,score,alt_group_score,pos_diff_score,rel_dist_diff_score,size_diff_score
8,N,2,weather,baseline,Alternative 1,Alternative 2,0.871719028,0.083333333,0.324814094,0.095701463,0.272168675
8,N,2,weather,baseline,Alternative 1,Original,0.790186135,0.083333333,0.283168105,0.093043724,0.237597249
8,N,2,weather,baseline,Alternative 2,Original,0.706881631,0.083333333,0.278017204,0.0759073,0.193716494
13,P,1,weather,baseline,Alternative 3,Alternative 1,0.879970304,0,0.339012224,0.152762854,0.235432372
13,P,1,weather,baseline,Alternative 3,Alternative 2,0.785934157,0,0.303818317,0.125565947,0.230983945
13,P,1,weather,baseline,Alternative 3,Original,1.001734945,0,0.383606468,0.165994451,0.286139574
13,P,1,weather,baseline,Alternative 1,Alternative 2,1.040206272,0,0.51697626,0.088926892,0.345376228
13,P,1,weather,baseline,Alternative 1,Original,0.674551312,0,0.149680062,0.210027667,0.104815917
13,P,1,weather,baseline,Alternative 2,Original,1.367963148,0,0.592831138,0.190272512,0.394586986
16,P,2,weather,baseline,Alternative 3,Alternative 1,0.53240976,0.083333333,0.121495665,0.115219223,0.097142316
16,P,2,weather,baseline,Alternative 3,Alternative 2,0.533540151,0,0.238670171,0.053256929,0.188356123
16,P,2,weather,baseline,Alternative 3,Original,0.900321056,0.083333333,0.327789044,0.125337694,0.238523291
16,P,2,weather,baseline,Alternative 1,Alternative 2,0.760765744,0.083333333,0.256324821,0.104608682,0.211890225
16,P,2,weather,baseline,Alternative 1,Original,0.794746607,0.083333333,0.323779249,0.08719439,0.213245245
16,P,2,weather,baseline,Alternative 2,Original,0.615696534,0.083333333,0.155006288,0.136183105,0.104990703
18,N,2,weather,baseline,Alternative 3,Alternative 1,0.327016754,0,0.083641832,0.092239303,0.058896316
18,N,2,weather,baseline,Alternative 3,Alternative 2,0.583903343,0.076923077,0.144390018,0.125471056,0.111648136
18,N,2,weather,baseline,Alternative 3,Original,0.686697746,0.083333333,0.195951226,0.123635294,0.1601426
18,N,2,weather,baseline,Alternative 1,Alternative 2,0.670223433,0.076923077,0.161848571,0.155727567,0.119996652
18,N,2,weather,baseline,Alternative 1,Original,0.650583094,0.083333333,0.179150627,0.118606346,0.150886441
18,N,2,weather,baseline,Alternative 2,Original,0.841781625,0.083333333,0.215537312,0.179834889,0.183241201
1,N,1,weather,baseline,Alternative 3,Alternative 1,0.820007375,0,0.365867933,0.089410735,0.275317972
1,N,1,weather,baseline,Alternative 3,Alternative 2,1.00165145,0,0.491553894,0.102371807,0.305353941
1,N,1,weather,baseline,Alternative 3,Original,1.020947456,0,0.457387052,0.127029037,0.30950233
1,N,1,weather,baseline,Alternative 1,Alternative 2,0.77625676,0,0.304459553,0.115167743,0.241461721
1,N,1,weather,baseline,Alternative 1,Original,0.459698495,0,0.146620211,0.094391292,0.1242957
1,N,1,weather,baseline,Alternative 2,Original,0.868514729,0,0.341963702,0.142328826,0.241893376
10,N,1,weather,scout,Alternative 1,Alternative 2,1.176532785,0,0.547908769,0.127576185,0.373471647
10,N,1,weather,scout,Alternative 1,Alternative 3,0.908212289,0.083333333,0.331367153,0.137142521,0.219226762
10,N,1,weather,scout,Alternative 1,Original,1.334368417,0.083333333,0.585963125,0.138305578,0.388460803
10,N,1,weather,scout,Alternative 2,Alternative 3,0.883835559,0.083333333,0.322086438,0.125698761,0.227018264
10,N,1,weather,scout,Alternative 2,Original,0.637637217,0.083333333,0.147193006,0.14747445,0.112161978
10,N,1,weather,scout,Alternative 3,Original,1.072551465,0.083333333,0.396841245,0.159454496,0.273467895
5,N,2,weather,scout,Alternative 1,Alternative 2,0.52081367,0,0.131487342,0.145630299,0.09806573
5,N,2,weather,scout,Alternative 1,Alternative 3,0.500788969,0,0.126751741,0.139785957,0.094465315
5,N,2,weather,scout,Alternative 1,Original,0.629166172,0.083333333,0.123643989,0.16060992,0.10096901
5,N,2,weather,scout,Alternative 2,Alternative 3,0.540133605,0,0.130079182,0.159386176,0.091282072
5,N,2,weather,scout,Alternative 2,Original,0.647307607,0.083333333,0.153613114,0.146898924,0.116563312
5,N,2,weather,scout,Alternative 3,Original,0.680143517,0.083333333,0.12822474,0.179466065,0.109653313
11,P,2,weather,baseline,Alternative 3,Alternative 1,1.520566151,0,0.514603035,0.303324378,0.39931436
11,P,2,weather,baseline,Alternative 3,Alternative 2,1.283979956,0,0.520537901,0.192501653,0.378438749
11,P,2,weather,baseline,Alternative 3,Original,0.595536652,0,0.22742877,0.11212319,0.143861502
11,P,2,weather,baseline,Alternative 1,Alternative 2,1.199138561,0,0.408527827,0.239821672,0.310967391
11,P,2,weather,baseline,Alternative 1,Original,1.700532845,0,0.640233031,0.321666356,0.416967103
11,P,2,weather,baseline,Alternative 2,Original,1.466368745,0,0.598630449,0.218298988,0.431140321
4,P,1,weather,baseline,Alternative 3,Alternative 1,0.703812739,0,0.106099141,0.244289585,0.109134428
4,P,1,weather,baseline,Alternative 3,Alternative 2,0.697258124,0,0.138867507,0.211844042,0.134702533
4,P,1,weather,baseline,Alternative 3,Original,0.603679794,0.083333333,0.126698219,0.144046112,0.105556017
4,P,1,weather,baseline,Alternative 1,Alternative 2,0.536604973,0,0.144697981,0.12165321,0.148600572
4,P,1,weather,baseline,Alternative 1,Original,0.886208774,0.083333333,0.179147685,0.245419658,0.13288844
4,P,1,weather,baseline,Alternative 2,Original,0.838824632,0.083333333,0.187489301,0.213146206,0.141709586
17,P,2,weather,scout,Alternative 1,Alternative 2,0.799150164,0.083333333,0.247927383,0.15015874,0.167571966
17,P,2,weather,scout,Alternative 1,Alternative 3,0.742758222,0.083333333,0.216123737,0.160372198,0.122556755
17,P,2,weather,scout,Alternative 1,Original,0.60474769,0.083333333,0.127270166,0.151808098,0.090527995
17,P,2,weather,scout,Alternative 2,Alternative 3,0.797053736,0,0.252614099,0.184637032,0.175165574
17,P,2,weather,scout,Alternative 2,Original,0.779740247,0.083333333,0.214784585,0.161084773,0.159452784
17,P,2,weather,scout,Alternative 3,Original,0.68870622,0.083333333,0.178672195,0.148031614,0.130637465
